iter	Passed	Remaining
301	11875	3853
302	11914	3814
303	11951	3774
304	11989	3734
305	12024	3693
306	12061	3653
307	12100	3614
308	12135	3573
309	12174	3534
310	12212	3494
311	12250	3455
312	12289	3415
313	12327	3376
314	12364	3336
315	12401	3296
316	12438	3256
317	12476	3217
318	12513	3177
319	12550	3137
320	12586	3097
321	12625	3058
322	12664	3018
323	12702	2979
324	12740	2940
325	12775	2900
326	12815	2861
327	12853	2821
328	12892	2782
329	12930	2742
330	12967	2703
331	13007	2664
332	13043	2624
333	13081	2584
334	13121	2546
335	13162	2507
336	13203	2468
337	13244	2429
338	13282	2390
339	13327	2351
340	13367	2312
341	13406	2273
342	13446	2234
343	13487	2195
344	13524	2156
345	13561	2116
346	13601	2077
347	13642	2038
348	13678	1998
349	13729	1961
350	13767	1921
351	13805	1882
352	13843	1843
353	13883	1804
354	13923	1764
355	13961	1725
356	13998	1686
357	14036	1646
358	14073	1607
359	14111	1567
360	14150	1528
361	14188	1489
362	14228	1450
363	14266	1411
364	14305	1371
365	14343	1332
366	14381	1293
367	14419	1253
368	14457	1214
369	14496	1175
370	14535	1136
371	14571	1096
372	14609	1057
373	14649	1018
374	14690	979
375	14727	940
376	14764	900
377	14802	861
378	14841	822
379	14880	783
380	14921	744
381	14959	704
382	15005	666
383	15051	627
384	15099	588
385	15152	549
386	15200	510
387	15251	471
388	15298	432
389	15338	393
390	15380	354
391	15422	314
392	15459	275
393	15498	236
394	15536	196
395	15574	157
396	15612	117
397	15652	78
398	15691	39
399	15740	0
